Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T01,High,California,Data Privacy,GDPR,IT,Vendor Cloud,1/3/2021 12:46,1/3/2021 12:48,6/3/2021 16:35,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T02,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,1/4/2021 9:52,1/4/2021 10:12,1/17/2021 9:44,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T03,High,Maryland,Cyber Security Breach,Firewall,HR,Vendor Cloud,1/4/2021 10:11,1/4/2021 10:11,1/4/2021 11:43,Allan,Excellent (5),Recommended Threat Assessment,,Personal Call
T04,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,1/4/2021 10:55,1/4/2021 10:55,1/18/2021 11:06,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T05,High,California,Cyber Security Breach,Malware Attack,Legal,On Prem Cloud,1/4/2021 21:58,1/4/2021 22:13,1/11/2021 12:20,Charlotte,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T06,Low,California,Cyber Consultation,New Application Launch,Finance,Vendor Cloud,1/5/2021 0:00,1/5/2021 9:24,1/7/2021 21:30,Sebastian,Satisfactory (3),Resolved,,Mail
T07,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,1/5/2021 21:27,1/5/2021 21:45,1/7/2021 20:14,Martina,Good (4),Advised for a risk assessment,,Personal Call
T08,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,1/5/2021 21:33,4/28/2021 22:11,1/10/2021 18:30,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T09,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,1/6/2021 19:36,7/8/2021 1:39,1/11/2021 10:17,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T10,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,1/6/2021 19:47,1/6/2021 20:09,1/10/2021 11:04,Sylviya,Good (4),Advised for a risk assessment,,Personal Call
